elapsed,pos,vel,smoothed
0,178,0,0
0.01,208,71,63.01126791
0.02,33,154,124.7242124
0.03,170,325,183.9042428
0.04,181,26,239.4785309
0.05,56,273,290.4932845
0.06,217,382,336.1378253
0.07,142,391,375.783956
0.08,76,413,409.0381359
0.09,41,486,435.7894983
0.1,226,439,456.2337019
0.11,198,503,470.8602021
0.12,148,451,480.4018447
0.13,99,453,485.7559254
0.14,75,513,487.8922864
0.15,27,455,487.7648629
0.16,234,491,486.238864
0.17,209,510,484.0394661
0.18,159,451,481.7225393
0.19,135,513,479.6649257
0.2,86,453,478.0711595
0.21,37,453,476.9943125
0.22,12,510,476.3691537
0.23,202,451,476.0546175
0.24,178,513,475.8798768
0.25,142,484,475.6861546
0.26,92,451,475.3569505
0.27,65,505,474.832886
0.28,14,448,474.1120695
